,loss_best,accuracy_best,data.nb_data,data.key,data.seed,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
0,1.532294469086537e-08,0.025,64,qatool,0,24,2,2,31032
1,1.3073113258599278e-08,0.05,64,qatool,0,36,2,2,60372
2,1.4334596620813045e-08,0.075,64,qatool,0,56,2,2,129752
3,9.079664131661502e-09,0.1,64,qatool,0,96,2,2,345312
4,1.1652519837923592e-08,0.075,64,qatool,0,128,2,2,591488
5,2.3188494679970972e-08,0.075,64,qa,0,24,2,2,31032
6,1.7050716394351184e-08,0.1,64,qa,0,36,2,2,60372
7,1.03848902810455e-08,0.125,64,qa,0,56,2,2,129752
8,1.1019101187059732e-08,0.225,64,qa,0,96,2,2,345312
9,1.045138287025793e-08,0.275,64,qa,0,128,2,2,591488
10,2.489908190739243e-08,0.05,128,qatool,0,24,2,2,31032
11,1.0398378158527066e-08,0.05,128,qatool,0,36,2,2,60372
12,8.867125700362521e-09,0.05,128,qatool,0,56,2,2,129752
13,7.319981065734282e-09,0.075,128,qatool,0,96,2,2,345312
14,7.551923530968452e-09,0.025,128,qatool,0,128,2,2,591488
15,3.3544118593908934e-08,0.075,128,qa,0,24,2,2,31032
16,2.087549155760371e-08,0.075,128,qa,0,36,2,2,60372
17,1.4236090528640943e-08,0.1,128,qa,0,56,2,2,129752
18,7.756965736405164e-09,0.275,128,qa,0,96,2,2,345312
19,9.064366146560587e-09,0.175,128,qa,0,128,2,2,591488
20,1.7346324057143647e-06,0.025,256,qatool,0,24,2,2,31032
21,6.720575207452839e-09,0.05,256,qatool,0,36,2,2,60372
22,6.852810319202263e-09,0.025,256,qatool,0,56,2,2,129752
23,6.7641039436239225e-09,0.075,256,qatool,0,96,2,2,345312
24,4.838228040426884e-09,0.05,256,qatool,0,128,2,2,591488
25,8.176742994692177e-06,0.075,256,qa,0,24,2,2,31032
26,2.578991065149694e-08,0.1,256,qa,0,36,2,2,60372
27,1.1940924693476518e-08,0.15,256,qa,0,56,2,2,129752
28,8.123239858548459e-09,0.275,256,qa,0,96,2,2,345312
29,6.677338681981837e-09,0.25,256,qa,0,128,2,2,591488
30,0.0005358748603612185,0.025,512,qatool,0,24,2,2,31032
31,7.724017869747968e-09,0.025,512,qatool,0,36,2,2,60372
32,8.071931567599222e-09,0.8,512,qatool,0,56,2,2,129752
33,1.8683830038668248e-09,1.0,512,qatool,0,96,2,2,345312
34,1.3539913634730283e-09,0.9,512,qatool,0,128,2,2,591488
35,0.007289211731404066,0.125,512,qa,0,24,2,2,31032
36,4.2488490947789614e-08,0.125,512,qa,0,36,2,2,60372
37,1.3798308273749171e-08,0.2,512,qa,0,56,2,2,129752
38,7.677787294824157e-09,0.25,512,qa,0,96,2,2,345312
39,8.40967295800965e-09,0.225,512,qa,0,128,2,2,591488
40,0.001876365626230836,0.075,1024,qatool,0,24,2,2,31032
41,1.0076383283319501e-08,1.0,1024,qatool,0,36,2,2,60372
42,9.257536959239587e-09,1.0,1024,qatool,0,56,2,2,129752
43,1.995080545214023e-09,0.9,1024,qatool,0,96,2,2,345312
44,1.1073065797617687e-09,1.0,1024,qatool,0,128,2,2,591488
45,0.010290892794728279,0.1,1024,qa,0,24,2,2,31032
46,2.3295556275115814e-06,0.125,1024,qa,0,36,2,2,60372
47,2.1902042846022596e-08,0.125,1024,qa,0,56,2,2,129752
48,8.496432890581218e-09,0.2,1024,qa,0,96,2,2,345312
49,8.521180205889323e-09,0.125,1024,qa,0,128,2,2,591488
50,0.0023838309571146965,0.05,2048,qatool,0,24,2,2,31032
51,7.48312523057848e-09,1.0,2048,qatool,0,36,2,2,60372
52,8.449934085774657e-09,1.0,2048,qatool,0,56,2,2,129752
53,1.956360407007196e-09,0.9,2048,qatool,0,96,2,2,345312
54,7.417122471764515e-10,1.0,2048,qatool,0,128,2,2,591488
55,0.010290892794728279,0.1,2048,qa,0,24,2,2,31032
56,2.3295556275115814e-06,0.125,2048,qa,0,36,2,2,60372
57,2.1902042846022596e-08,0.125,2048,qa,0,56,2,2,129752
58,7.583433436764153e-09,0.225,2048,qa,0,96,2,2,345312
59,1.0400809991040205e-08,0.175,2048,qa,0,128,2,2,591488
60,0.0022246160078793764,0.05,4096,qatool,0,24,2,2,31032
61,6.071200431279067e-09,0.875,4096,qatool,0,36,2,2,60372
62,9.876845119549671e-09,1.0,4096,qatool,0,56,2,2,129752
63,1.8699746195949274e-09,0.9,4096,qatool,0,96,2,2,345312
64,8.314228194805651e-10,1.0,4096,qatool,0,128,2,2,591488
65,0.010290892794728279,0.1,4096,qa,0,24,2,2,31032
66,2.3295556275115814e-06,0.125,4096,qa,0,36,2,2,60372
67,2.1902042846022596e-08,0.125,4096,qa,0,56,2,2,129752
68,9.219633945178884e-09,0.225,4096,qa,0,96,2,2,345312
69,9.478235085680353e-09,0.125,4096,qa,0,128,2,2,591488
70,0.0023388750851154327,0.05,8192,qatool,0,24,2,2,31032
71,8.285963026821719e-09,1.0,8192,qatool,0,36,2,2,60372
72,1.0464838773316387e-08,1.0,8192,qatool,0,56,2,2,129752
73,2.1495383251135536e-09,0.9,8192,qatool,0,96,2,2,345312
74,8.810784879464961e-10,1.0,8192,qatool,0,128,2,2,591488
75,0.010290892794728279,0.1,8192,qa,0,24,2,2,31032
76,2.3295556275115814e-06,0.125,8192,qa,0,36,2,2,60372
77,2.1902042846022596e-08,0.125,8192,qa,0,56,2,2,129752
78,1.0108808901065913e-08,0.25,8192,qa,0,96,2,2,345312
79,8.08295652632296e-09,0.125,8192,qa,0,128,2,2,591488
80,0.002168459352105856,0.05,16384,qatool,0,24,2,2,31032
81,1.0613687706495512e-08,0.9,16384,qatool,0,36,2,2,60372
82,8.959817776599266e-09,0.95,16384,qatool,0,56,2,2,129752
83,1.8858978823033112e-09,0.9,16384,qatool,0,96,2,2,345312
84,1.0033801567388423e-09,1.0,16384,qatool,0,128,2,2,591488
85,0.010290892794728279,0.1,16384,qa,0,24,2,2,31032
86,2.3295556275115814e-06,0.125,16384,qa,0,36,2,2,60372
87,2.1902042846022596e-08,0.125,16384,qa,0,56,2,2,129752
88,8.366071391208152e-09,0.2,16384,qa,0,96,2,2,345312
89,8.521180205889323e-09,0.125,16384,qa,0,128,2,2,591488
90,0.0025337429251521826,0.05,32768,qatool,0,24,2,2,31032
91,6.999798518592115e-09,0.975,32768,qatool,0,36,2,2,60372
92,8.983288779518261e-09,1.0,32768,qatool,0,56,2,2,129752
93,1.594017473571796e-09,0.9,32768,qatool,0,96,2,2,345312
94,1.1289977841499876e-09,1.0,32768,qatool,0,128,2,2,591488
95,0.010290892794728279,0.1,32768,qa,0,24,2,2,31032
96,2.3295556275115814e-06,0.125,32768,qa,0,36,2,2,60372
97,2.1902042846022596e-08,0.125,32768,qa,0,56,2,2,129752
98,1.1296855895182034e-08,0.2,32768,qa,0,96,2,2,345312
99,8.521180205889323e-09,0.125,32768,qa,0,128,2,2,591488
